 BSIM4v5: Berkeley Short Channel IGFET Model-4
     device m.x1.xmb6.msky130_fd_ m.x1.xmb5.msky130_fd_ m.x1.xmb4.msky130_fd_
      model x1.xmb6:sky130_fd_pr_ x1.xmb5:sky130_fd_pr_ x1.xmb4:sky130_fd_pr_
     delvto                     0                     0                     0
      mulu0                     1                     1                     1
        xgw                     0                     0                     0
      ngcon                     1                     1                     1
   trnqsmod                     0                     0                     0
   acnqsmod                     0                     0                     0
   rbodymod                     1                     1                     1
   rgatemod                     0                     0                     0
     geomod                     0                     0                     0
    rgeomod                     0                     0                     0
       gmbs           0.000668994            0.00394344           0.000250582
         gm            0.00312864             0.0166377            0.00107342
        gds            2.1984e-05            0.00210907           6.46445e-06
      vdsat             0.0872326             0.0738626              0.134578
        vth              0.627845              0.764559              0.559913
         id           0.000184413            0.00109691           8.23189e-05
        ibd          -1.09272e-12          -3.67325e-13           -6.8694e-13
        ibs           -1.1253e-18          -4.94016e-19          -1.49116e-18
        gbd                 1e-12            1.0004e-12                 1e-12
        gbs           2.10994e-12           3.10898e-12            1.8739e-12
       isub            1.1249e-10           3.09108e-22           8.24832e-17
      igidl                     0                     0                     0
      igisl                     0                     0                     0
        igs                     0                     0                     0
        igd                     0                     0                     0
        igb                     0                     0                     0
       igcs                     0                     0                     0
       igcd                     0                     0                     0
        vbs          -5.31918e-07          -1.58897e-07          -7.95741e-07
        vgs              0.679028              0.737246               0.70134
        vds               1.06275              0.298856              0.657718
        cgg           2.44883e-13           1.56857e-12           1.60334e-13
        cgs          -2.17266e-13           -9.5639e-13          -1.42513e-13
        cgd           3.55594e-16           7.46492e-14          -1.44588e-16
        cbg          -5.24332e-14          -5.77116e-13          -2.85648e-14
        cbd           2.78083e-17           3.07139e-14          -8.35804e-17
        cbs          -2.30483e-14          -4.08901e-13          -2.41276e-14
        cdg          -7.70183e-14          -3.99564e-13          -5.28284e-14
        cdd          -1.37479e-16          -3.91342e-14            1.7999e-16
        cds           9.61597e-14           5.47028e-13           6.67254e-14
        csg          -1.15432e-13           -5.9189e-13          -7.89411e-14
