 BSIM4v5: Berkeley Short Channel IGFET Model-4
     device m.xmb1.msky130_fd_pr_ m.xmb2.msky130_fd_pr_ m.xmp.msky130_fd_pr__
      model xmb1:sky130_fd_pr__pf xmb2:sky130_fd_pr__nf xmp:sky130_fd_pr__pfe
        ibs          -1.08434e-10          -1.08434e-10
        gbd           1.00002e-12           1.00001e-12
        gbs           5.67219e-12           5.67219e-12
       isub           3.48002e-20           4.77961e-20
      igidl                     0                     0
      igisl                     0                     0
        igs                     0                     0
        igd                     0                     0
        igb                     0                     0
       igcs                     0                     0
       igcd                     0                     0
        vbs             -0.277633             -0.277633
        vgs              0.622931              0.622367
        vds              0.552057               0.58793
        cgg           2.17907e-14           2.17723e-14
        cgs          -1.85741e-14          -1.85546e-14
        cgd           5.14533e-19           4.35739e-18
        cbg          -5.04979e-15          -5.05329e-15
        cbd          -1.05048e-17          -7.94898e-18
        cbs          -2.20632e-15          -2.20531e-15
        cdg          -6.71264e-15          -6.70143e-15
        cdd           1.67677e-17           1.17408e-17
        cds           8.32013e-15           8.31129e-15
        csg          -1.00283e-14          -1.00176e-14
        csd          -6.77744e-18          -8.14918e-18
        css           1.24603e-14           1.24486e-14
        cgb          -3.21718e-15          -3.22212e-15
        cdb          -1.62426e-15           -1.6216e-15
        csb          -2.42518e-15          -2.42284e-15
        cbb           7.26661e-15           7.26656e-15
      capbd           5.42564e-15           5.36376e-15
      capbs           6.78214e-15           6.78214e-15
         qg           2.12787e-14           2.12665e-14
         qb           -1.6709e-14          -1.67065e-14
         qd            -1.831e-15          -1.82671e-15
         qs          -2.73869e-15          -2.73331e-15
       qinv                     0                     0
       qdef                     0                     0
       gcrg                     0                     0
       gtau                     0                     0
    vgsteff             0.0326556             0.0324343
     vdseff             0.0785799               0.07853
       cgso           2.49199e-15           2.49199e-15
       cgdo           2.49199e-15           2.49199e-15
       cgbo           5.01226e-20           5.01226e-20
       weff           9.91124e-06           9.91124e-06
       leff           5.00391e-07           5.00391e-07

