 BSIM4v5: Berkeley Short Channel IGFET Model-4
     device m.xmb1.msky130_fd_pr_ m.xmb2.msky130_fd_pr_ m.xmp.msky130_fd_pr__
      model xmb1:sky130_fd_pr__pf xmb2:sky130_fd_pr__nf xmp:sky130_fd_pr__pfe
        scb                     0                     0                     0
        scc                     0                     0                     0
         sc                     0                     0                     0
        min                     0                     0                     0
         ad              1.45e-12              1.45e-12              1.45e-12
         as              1.45e-12              1.45e-12              1.45e-12
         pd             1.058e-05             1.058e-05             1.058e-05
         ps             1.058e-05             1.058e-05             1.058e-05
        nrd                 0.058                 0.058                 0.058
        nrs                 0.058                 0.058                 0.058
        off                     0                     0                     0
       rbdb                    50                    50                    50
       rbsb                    50                    50                    50
       rbpb                    50                    50                    50
       rbps                    50                    50                    50
       rbpd                    50                    50                    50
     delvto                     0                     0                     0
      mulu0                     1                     1                     1
        xgw                     0                     0                     0
      ngcon                     1                     1                     1
   trnqsmod                     0                     0                     0
   acnqsmod                     0                     0                     0
   rbodymod                     1                     1                     1
   rgatemod                     0                     0                     0
     geomod                     0                     0                     0
    rgeomod                     0                     0                     0
       gmbs           3.49954e-05           1.82176e-05           1.81379e-05
         gm           0.000153898            7.6617e-05           7.62743e-05
        gds           2.45034e-06           5.43076e-07           5.47613e-07
      vdsat             0.0930525              0.101836              0.101699
        vth              0.631896               1.06483               1.06504
         id           9.35591e-06            4.6908e-06           4.66511e-06
        ibd          -2.23432e-13          -1.18002e-12           -1.1329e-12
        ibs          -5.42644e-19          -2.72058e-19          -2.70569e-19
        gbd                 1e-12                 1e-12                 1e-12
        gbs                 1e-12                 1e-12                 1e-12
       isub           1.07822e-20            1.6349e-13           1.04595e-13
      igidl                     0                     0                     0
      igisl                     0                     0                     0
        igs                     0                     0                     0
        igd                     0                     0                     0
        igb                     0                     0                     0
       igcs                     0                     0                     0
       igcd                     0                     0                     0
        vbs           -5.4264e-07          -2.72048e-07           -2.7056e-07
        vgs              0.710895                1.1329                1.1329
        vds              0.223432               1.18002                1.1329
        cgg           2.86064e-14           1.26042e-14            1.2601e-14
        cgs          -2.48632e-14          -1.14668e-14           -1.1463e-14
        cgd          -8.83234e-16           3.91056e-17           3.89857e-17
        cbg          -4.64599e-15          -2.47181e-15          -2.47184e-15
        cbd          -5.47001e-16           4.02432e-18           3.95676e-18
        cbs          -3.65869e-15          -1.20786e-15          -1.20752e-15
        cdg          -9.98844e-15           -4.0545e-15          -4.05335e-15
        cdd           1.08868e-15          -1.67605e-17          -1.66182e-17
        cds           1.14021e-14           5.07136e-15           5.06983e-15
        csg           -1.3972e-14           -6.0779e-15           -6.0758e-15
        csd           3.41551e-16          -2.63693e-17          -2.63243e-17
        css           1.71198e-14           7.60333e-15           7.60073e-15
        cgb          -2.85999e-15          -1.17648e-15          -1.17694e-15
        cdb          -2.50231e-15           -1.0001e-15          -9.99864e-16
        csb          -3.48938e-15          -1.49906e-15           -1.4986e-15
        cbb           8.85168e-15           3.67565e-15            3.6754e-15
      capbd           2.42165e-15           1.69444e-15           1.71371e-15
      capbs           2.73538e-15           2.53619e-15           2.53619e-15
         qg           2.16082e-14           8.90297e-15           8.90113e-15
         qb          -1.57688e-14          -6.74396e-15          -6.74414e-15
         qd            -2.379e-15          -8.63885e-16          -8.63098e-16
         qs          -3.46035e-15          -1.29513e-15          -1.29389e-15
       qinv                     0                     0                     0
       qdef                     0                    -0                    -0
       gcrg                     0                     0                     0
       gtau                     0                     0                     0
    vgsteff             0.0854797             0.0800191             0.0798558
     vdseff             0.0867104                0.1009              0.100723
       cgso           1.22463e-15           3.50797e-16           3.50797e-16
       cgdo           1.22463e-15           3.43504e-16           3.45217e-16
       cgbo           9.62837e-20                     0                     0
       weff           5.00132e-06           5.03043e-06           5.03043e-06
       leff           9.51881e-07           5.03733e-07           5.03733e-07

 BSIM4v5: Berkeley Short Channel IGFET Model-4
     device m.xm2.msky130_fd_pr__ m.xm1.msky130_fd_pr__
      model xm2:sky130_fd_pr__nfe xm1:sky130_fd_pr__nfe
          l                 5e-07                 5e-07
          w                 1e-05                 1e-05
          m                     1                     1
         nf                     1                     1
         sa                     0                     0
         sb                     0                     0
         sd                     0                     0
        sca                     0                     0
        scb                     0                     0
        scc                     0                     0
         sc                     0                     0
        min                     0                     0
         ad               2.9e-12               2.9e-12
         as               2.9e-12               2.9e-12
         pd             2.058e-05             2.058e-05
         ps             2.058e-05             2.058e-05
        nrd                 0.029                 0.029
        nrs                 0.029                 0.029
        off                     0                     0
       rbdb                    50                    50
       rbsb                    50                    50
       rbpb                    50                    50
       rbps                    50                    50
